epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1037.39,0.63694,0.58356,1.01962,0.95559,0.9258,0.96691,0.86973,0.44935,0.35665,0.81861,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,1067.35,0.645,0.5882,1.02857,0.94272,0.94195,0.9707,0.87046,0.4531,0.35561,0.81961,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,1097.06,0.63697,0.57379,1.01449,0.95575,0.93343,0.97082,0.87516,0.43961,0.34383,0.80579,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,1126.72,0.64216,0.5885,1.02068,0.95797,0.93507,0.97251,0.87549,0.44637,0.34436,0.80474,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,1156.63,0.63591,0.56744,1.01404,0.95913,0.93217,0.9677,0.87868,0.42758,0.33968,0.80016,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,1186.28,0.62563,0.55879,0.99681,0.96411,0.93234,0.9703,0.88271,0.42616,0.34247,0.79845,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,1216.28,0.62673,0.57032,1.01025,0.96528,0.93453,0.971,0.88504,0.41749,0.32987,0.79164,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,1246.01,0.64502,0.56841,1.0123,0.96228,0.93543,0.97179,0.88095,0.43289,0.33431,0.79201,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,1275.55,0.6096,0.55956,0.99855,0.96481,0.93341,0.9723,0.88887,0.41113,0.32387,0.77807,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,1305.26,0.61565,0.55671,1.00706,0.96931,0.92885,0.9734,0.89449,0.40445,0.3194,0.78382,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,1335.24,0.61065,0.54501,0.99846,0.96156,0.92492,0.97162,0.88515,0.41787,0.32916,0.79747,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,1364.98,0.5965,0.52013,0.99207,0.96374,0.93496,0.9716,0.89599,0.40272,0.32058,0.78755,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,1394.94,0.60542,0.55015,0.99968,0.95368,0.94366,0.97162,0.8932,0.40375,0.31497,0.79704,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,1424.5,0.60253,0.54031,0.9994,0.96386,0.94299,0.97607,0.8979,0.39962,0.31454,0.79789,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,1454.5,0.58579,0.52042,0.98659,0.96425,0.94181,0.97348,0.89353,0.39889,0.31126,0.78569,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,1484.08,0.59407,0.52971,0.99031,0.97109,0.93365,0.97585,0.9009,0.38878,0.30893,0.77698,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,1513.74,0.59619,0.53938,0.99732,0.97093,0.93496,0.97644,0.90285,0.39257,0.30676,0.77079,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,1543.38,0.57556,0.5099,0.98005,0.97559,0.94212,0.97524,0.90425,0.37955,0.29502,0.77309,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,1573.21,0.58031,0.50885,0.98664,0.96582,0.94971,0.97543,0.90671,0.37409,0.29366,0.77468,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,1602.95,0.5688,0.50681,0.98567,0.95915,0.94413,0.97532,0.90603,0.37786,0.30058,0.79067,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,1632.75,0.56564,0.51395,0.98834,0.96422,0.945,0.97507,0.90246,0.38732,0.3042,0.78871,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,1662.16,0.5611,0.50534,0.97621,0.97196,0.95321,0.97915,0.91507,0.36497,0.28743,0.77392,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,1692.35,0.5589,0.49876,0.9716,0.97214,0.94429,0.97605,0.91156,0.37038,0.29289,0.76609,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,1721.92,0.57493,0.51364,0.98666,0.9717,0.94806,0.97688,0.9138,0.36371,0.28369,0.76766,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,1751.51,0.56666,0.4927,0.97445,0.97408,0.9514,0.97702,0.91645,0.35877,0.27951,0.75436,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,1780.05,0.54987,0.49299,0.96622,0.97448,0.94991,0.97961,0.91866,0.35404,0.27633,0.75491,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,1808.67,0.55095,0.48985,0.96826,0.97949,0.94893,0.98023,0.92399,0.34358,0.27128,0.74829,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,1837.25,0.56404,0.50187,0.97828,0.97406,0.9507,0.98269,0.92391,0.34703,0.27206,0.74578,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,1865.92,0.54805,0.50142,0.97067,0.9792,0.95504,0.98367,0.92282,0.34706,0.27186,0.75157,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,1894.17,0.5329,0.47699,0.95678,0.9746,0.95473,0.98107,0.92444,0.33936,0.26951,0.75533,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,1922.93,0.53634,0.4731,0.96396,0.9796,0.95286,0.98207,0.92203,0.34213,0.26752,0.75097,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,1951.54,0.53479,0.47361,0.96102,0.98239,0.95548,0.9841,0.92634,0.34051,0.26381,0.76235,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,1979.92,0.52961,0.47781,0.96902,0.97078,0.96595,0.98338,0.93087,0.33074,0.25741,0.75777,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,2009.4,0.52219,0.46794,0.959,0.97229,0.965,0.98271,0.9292,0.33392,0.26222,0.75913,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,2038.89,0.53589,0.4802,0.96873,0.97958,0.96315,0.98373,0.93244,0.32945,0.25568,0.7597,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,2068.74,0.52521,0.46719,0.95792,0.98208,0.957,0.98305,0.92689,0.33598,0.26199,0.75983,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,2098.47,0.51312,0.45796,0.95417,0.97675,0.96377,0.98266,0.9332,0.32575,0.25475,0.75907,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
